"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1579","24SevenOffice","-31,7%","-17%","-40,3","383,6","-1,58","42,0",,"1356","38,8","-9,5%","9,9%","-17,6%"
"1550","2cureX","-10738,3%","-81%","0,2","0,2","-0,00","0,6",,"11","57,9","9,7%","-10,5%","8,3%"
"2396","4C Group","-4,6%","22%","-28,0","-4,5","-1,18","1,7",,"358","43,8","-1,4%","-36,8%","3,2%"
"1398","AAC Clyde Space","-7,7%","-2%","-4,8","8,5","-6,68","0,4",,"265","48,8","-0,9%","10,8%","-2,8%"
"2","AAK","17,5%","7%","18,0","36,1","-4,66","4,6","0,7","83838","69,1","2,8%","0,2%","2,3%"
"2481","ABAS Protect","3,5%","31%","19,9",,,"1,5","-0,7","66","53,4","0,1%","-4,8%","1,6%"
"3","ABB","18,9%","3%","20,3","26,1","-0,39","7,0","5,0","1129765","46,1","-0,5%","5,0%","2,0%"
"1461","Abelco Investment","-95,1%","-0%","-5,4","-3,3","0,00","0,5",,"23","50,3","-6,1%","-15,2%","0,0%"
"2079","Abera Bioscience","-68,7%","-31%","-13,9","-6,2","-0,03","6,5",,"59","45,5","-4,1%","-4,0%","-14,4%"
"384","Abliva","-216,3%","-48%","-6,7","-6,6","-0,00","7,4",,"705","92,2","0,9%","47,0%","3,7%"
"437","Absolent Air Care","10,8%","16%","16,7","23,6","-3,12","3,4","-1,5","3079","55,9","-4,3%","-18,6%","5,0%"
"1336","Absolicon","-130,3%","-12%","-0,2","-0,7","-0,26","0,4",,"32","51,3","-0,9%","-35,5%","-7,7%"
"1323","AcadeMedia","3,8%","54%","13,0","7,2","-7,43","1,1","0,6","6956","54,8","2,2%","8,3%","1,3%"
"1397","Acarix","-471,5%","-66%","-2,4","-2,4","-0,00","3,4",,"239","34,6","-3,5%","-19,0%","-10,6%"
"2198","Acast","-28,5%","-30%","-17,4","-69,0","-0,37","2,8",,"3169","60,5","-0,5%","3,8%","11,5%"
"1572","Acconeer","-21,5%","-28%","-7,1","-2,5","-0,76","1,2",,"290","43,3","-3,3%","-23,4%","-2,9%"
"1402","AcouSort","-847,4%","-52%","-7,2","-7,1","-0,11","12,3",,"145","39,6","-6,5%","-17,6%","-12,0%"
"607","Acrinova A","2,4%","45%","32,5","101,3","-0,64","0,6","0,4","607","45,3","-1,9%","-1,6%","-11,5%"
"2104","Acrinova B","2,4%","45%","32,6","101,6","-0,64","0,6","0,4","612","43,0","-1,7%","1,5%","-2,6%"
"1426","Actic Group","-2,5%","68%","120,9","6,3","-1,05","0,8",,"139","53,1","3,9%","5,2%","5,9%"
"6","Active Biotech",,"-42%","-0,8","-0,8",,"27,7",,"132","40,0","-4,9%","-59,9%","-1,5%"
"1451","AcuCort","-34,9%","-16%","-7,4","-3,9","-0,05","2,3",,"110","66,3","14,4%","-10,7%","21,9%"
"1326","Acuvi","-15,4%","11%","-12,9","-451,0","-0,28","1,2",,"510","59,5","2,2%","8,7%","6,8%"
"1015","AddLife","1,2%","41%","43,2","46,3","-3,00","3,6","-2,6","18551","66,0","5,6%","-0,3%","10,3%"
"7","Addnode","8,9%","12%","28,1","99,4","-4,00","6,4","0,9","15888","78,4","6,8%","-7,4%","13,8%"
"8","Addtech","14,6%","31%","36,3","97,8","-6,20","13,5","7,6","88494","67,2","3,2%","4,4%","7,7%"
