"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1477","Alligo","4,1%","30%","19,7","24,2","-10,82","1,9","-0,6","7096","58,1","1,7%","-1,8%","1,3%"
"364","ALM Equity","-36,0%","6%","-4,4","2,0","10,12","0,8",,"4192","35,4","-4,6%","-19,7%","-15,4%"
"2311","Alpcot","-22,9%",,"-6,9","-12,1","-0,00","2,1",,"161","70,7","11,2%","-0,3%","66,4%"
"443","Alteco Medical","-132,2%","-5%","-2,3","-2,6",,"2,7",,"27","60,3","3,4%","23,9%","25,5%"
"1752","AlzeCure Pharma",,"-92%","-3,5","-3,6",,"4,8",,"170","70,9","32,5%","-20,2%","27,2%"
"916","Alzinova","-18,8%","-12%","-5,9","-3,2","-0,38","1,1",,"271","46,0","1,6%","5,6%","2,7%"
"1419","Ambea","4,4%","60%","16,4","12,3","-4,02","2,0","0,4","9983","72,8","3,9%","11,6%","19,7%"
"501","Amhult 2","1,2%","38%","44,6","-12,4","-17,17","0,5","-1,0","394","50,4","2,6%","-0,9%","2,7%"
"1891","Amido","-25,8%","-17%","-13,9","-11,6","-0,43","2,9",,"118","58,8","9,0%","22,3%","46,3%"
"500","Amnode","-86,1%","34%","-3,2","-3,3","-1,29","1,5",,"8","74,2","51,4%","-39,7%","173,3%"
"2048","Annehem Fastigheter","1,5%","39%","37,6","-12,6","-3,76","0,6","-0,6","1504","61,2","1,6%","-9,0%","2,1%"
"1446","Annexin",,"-86%","-3,0","-3,0",,"12,4",,"169","36,3","-7,5%","-17,3%","-31,9%"
"13","Anoto","-130,0%","32%","-1,1","-5,3","-0,01","1,2",,"80","42,5","0,1%","-39,3%","-23,2%"
"2500","ANTCO Investment","-64,3%","-1%","-0,7","3,1","0,14","0,2",,"2","53,7","11,1%","5,5%","0,0%"
"2556","Apotea","29,9%","13%","33,1","207,2","-1,60","14,0","0,3","8801","61,6","2,7%",,"15,0%"
"1396","AppSpotr","-65,5%","-23%","-1,8","-0,7","-0,06","1,2",,"23","41,7","-5,7%","-66,3%","-11,6%"
"767","Aptahem","-14,0%","-6%","0,0","-0,1","3,18","0,1",,"9","36,0","-6,2%","-54,3%","-34,9%"
"505","AQ Group","15,9%","-4%","17,8","16,0","-2,91","3,5","4,4","15228","53,3","0,4%","10,2%","2,9%"
"2244","Aquaticus Real Estate","2,1%","50%","29,6","31,9","-0,07","0,6","-0,4","197","66,8","9,5%","-7,0%","8,5%"
"1604","Arbona A","8,7%","-4%","-1090,8","-17,4","-0,32","0,9","-0,3","1787","61,2","2,4%","-0,5%","7,5%"
"2219","Archelon Natural","-45,3%","-5%","-2,0","-1,6","0,03","1,4",,"8","56,2","3,9%","-9,1%","20,0%"
"433","Arcoma","24,3%","-17%","8,8","9,9","-0,52","2,2","0,0","133","44,4","-3,2%","-21,2%","-5,6%"
"2391","Arctic Blue Beverages",,"140%","-4,5","-4,3","-0,02","-3,1",,"45","70,3","34,6%","104,4%","258,3%"
"262","Arctic Minerals","-6,1%","-12%","-15,8","-17,0","-0,00","1,0",,"164","61,9","25,0%","-2,9%","68,4%"
"381","Arctic Paper","10,0%","-1%","4,4","-6,9","-5,22","0,8","-0,2","2896","41,7","-2,5%","-14,5%","-9,5%"
"1710","Arion Banki","1,7%",,"7,0","11,0","-0,76","1,2","3,1","19599","42,9","-1,6%","16,0%","-4,8%"
"14","Arise Windpower","7,7%","10%","14,9","52,4","-5,41","0,8","-1,1","1689","64,2","3,7%","-13,1%","4,5%"
"1574","Arjo","4,6%","26%","16,6","16,9","-2,33","1,3","5,6","10671","53,6","0,5%","-5,3%","2,1%"
"2147","Arla Plast","17,3%","-2%","9,5","19,3","-5,43","1,7","0,3","1125","71,5","6,0%","-3,9%","7,4%"
"2248","Arlandastad","-1,3%","19%","-23,6","-18,7","-1,03","0,4",,"1891","73,0","6,8%","-7,1%","9,9%"
"506","AroCell","-57,8%","-36%","-2,0","-29,2","-0,00","1,1",,"134","55,8","0,8%","4,9%","-3,3%"
"1793","Ascelia Pharma","-2170,0%","-35%","-4,3","-4,6",,"4,3",,"338","64,7","7,3%","-26,5%","24,1%"
"2568","Asmodee",,,,,,,,"23241",,,,
"17","Assa Abloy","9,3%","31%","18,0","58,4","-12,55","3,4","1,6","366371","47,6","0,2%","2,0%","-2,0%"
"18","AstraZeneca","11,1%","24%","25,3","65,1","-5,15","5,6","1,8","2515042","62,7","1,5%","-4,3%","5,6%"
"1447","Athanase Innovation","-19,9%","-63%","-1,0","-3,5","-0,01","0,8",,"367","48,1","-7,9%","2,9%","-5,0%"
